PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,REB,AST,TOV,STL,BLK,+/-
Aaron Gordon,DEN,26,75,46,29,31.7,15.0,5.9,2.5,1.8,0.6,0.6,4.3
Aaron Henry,PHI,22,6,6,0,2.8,0.3,0.2,0.0,0.3,0.0,0.3,-3.3
Aaron Holiday,PHX,25,63,34,29,16.2,6.3,1.9,2.4,1.1,0.7,0.1,-0.6
Aaron Nesmith,BOS,22,52,32,20,11.0,3.8,1.7,0.4,0.6,0.4,0.1,0.4
Aaron Wiggins,OKC,23,50,13,37,24.2,8.3,3.6,1.4,1.1,0.6,0.2,-4.7
Abdel Nader,PHX,28,14,11,3,10.4,2.4,1.9,0.5,0.8,0.6,0.3,-0.1
Ade Murkey,SAC,24,1,0,1,1.5,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
Admiral Schofield,ORL,25,38,10,28,12.3,3.8,2.3,0.7,0.6,0.1,0.1,-3.4
Ahmad Caver,IND,25,1,0,1,0.8,2.0,0.0,0.0,0.0,0.0,0.0,2.0
Al Horford,BOS,35,69,46,23,29.1,10.2,7.7,3.4,0.9,0.7,1.3,5.6
Alec Burks,NYK,30,81,37,44,28.6,11.7,4.9,3.0,1.1,1.0,0.3,1.5
Aleem Ford,ORL,24,5,2,3,14.7,2.8,3.0,0.4,0.8,0.2,0.0,-7.0
Aleksej Pokusevski,OKC,20,61,19,42,20.2,7.6,5.2,2.1,1.5,0.6,0.6,-0.7
Alex Caruso,CHI,28,41,24,17,28.0,7.4,3.6,4.0,1.4,1.7,0.4,2.7
Alex Len,SAC,28,39,17,22,15.9,6.0,4.1,1.2,1.1,0.3,0.6,-1.9
Alfonzo McKinnie,CHI,29,17,8,9,12.1,3.5,1.9,0.3,0.4,0.1,0.2,-3.2
Alize Johnson,NOP,26,23,14,9,7.3,1.8,2.7,0.4,0.5,0.2,0.0,-2.0
Alperen Sengun,HOU,19,72,18,54,20.7,9.6,5.5,2.6,2.0,0.8,0.9,-4.3
Amir Coffey,LAC,24,69,33,36,22.7,9.0,2.9,1.8,0.7,0.6,0.2,-0.7
Andre Drummond,BKN,28,73,42,31,19.7,7.9,9.3,1.8,1.6,1.1,0.9,0.5
Andre Iguodala,GSW,38,31,20,11,19.4,4.0,3.2,3.7,0.9,0.9,0.7,3.7
Andrew Wiggins,GSW,27,73,47,26,31.9,17.2,4.5,2.2,1.5,1.0,0.7,3.6
Anfernee Simons,POR,22,57,25,32,29.5,17.3,2.6,3.9,2.0,0.5,0.1,-1.5
Anthony Davis,LAL,29,40,17,23,35.1,23.2,9.9,3.1,2.1,1.2,2.3,-2.3
Anthony Edwards,MIN,20,72,39,33,34.2,21.3,4.8,3.8,2.6,1.5,0.6,2.6
Anthony Gill,WAS,29,44,15,29,10.5,4.1,1.9,0.6,0.4,0.1,0.3,1.4
Anthony Lamb,HOU,24,2,0,2,3.8,0.0,0.5,1.0,0.0,0.0,0.0,2.5
Armoni Brooks,TOR,23,54,20,34,15.6,5.3,1.9,1.1,0.5,0.5,0.2,-1.5
Arnoldas Kulboka,CHA,24,2,2,0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,-6.0
Austin Reaves,LAL,23,61,28,33,23.2,7.3,3.2,1.8,0.7,0.5,0.3,0.9
Austin Rivers,DEN,29,67,41,26,22.1,6.0,1.7,1.3,0.8,0.8,0.1,0.8
Avery Bradley,LAL,31,62,27,35,22.7,6.4,2.2,0.8,0.6,0.9,0.1,-2.9
Ayo Dosunmu,CHI,22,77,42,35,27.4,8.8,2.8,3.3,1.4,0.8,0.4,-2.6
Bam Adebayo,MIA,24,56,36,20,32.6,19.1,10.1,3.4,2.6,1.4,0.8,5.4
Ben McLemore,POR,29,64,20,44,20.1,10.2,1.6,0.9,0.9,0.6,0.2,-5.5
Bismack Biyombo,PHX,29,36,30,6,14.1,5.8,4.6,0.6,0.7,0.3,0.7,1.4
BJ Johnson,ORL,26,4,2,2,16.1,6.5,3.8,0.0,0.0,0.0,0.3,-3.0
Blake Griffin,BKN,33,56,29,27,17.1,6.4,4.1,1.9,0.6,0.5,0.3,-1.7
Boban Marjanovic,DAL,33,23,15,8,5.6,4.3,1.7,0.1,0.7,0.0,0.1,1.5
Bobby Portis,MIL,27,72,46,26,28.2,14.6,9.1,1.2,1.3,0.7,0.7,4.4
Bogdan Bogdanovic,ATL,29,63,33,30,29.3,15.1,4.0,3.1,1.1,1.1,0.2,3.0
Bojan Bogdanovic,UTA,33,69,45,24,30.9,18.1,4.3,1.7,1.7,0.5,0.0,3.2
Bol Bol,ORL,22,14,5,9,5.8,2.4,1.4,0.4,0.3,0.1,0.1,0.4
Bones Hyland,DEN,21,69,41,28,19.0,10.1,2.7,2.8,1.2,0.6,0.3,0.6
Brad Wanamaker,WAS,32,23,10,13,13.9,3.6,1.7,2.4,1.0,0.3,0.3,-1.9
Bradley Beal,WAS,28,40,17,23,36.0,23.2,4.7,6.6,3.4,0.9,0.4,-2.6
Brandon Boston Jr.,LAC,20,51,26,25,14.9,6.7,2.2,1.0,0.6,0.5,0.3,-0.7
Brandon Clarke,MEM,25,64,44,20,19.5,10.4,5.3,1.3,0.5,0.6,1.1,2.8
Brandon Goodwin,CLE,26,36,19,17,13.9,4.8,1.9,2.5,1.0,0.7,0.0,-1.5
Brandon Ingram,NOP,24,55,29,26,34.0,22.7,5.8,5.6,2.7,0.6,0.5,2.2
Brandon Knight,DAL,30,5,2,3,12.9,6.4,1.6,1.6,0.8,0.2,0.0,-1.2
Brandon Williams,POR,22,24,2,22,26.7,12.9,3.1,3.9,2.4,1.0,0.4,-11.3
Braxton Key,DET,25,11,5,6,17.9,7.2,4.5,1.0,1.0,0.9,1.0,2.5
Brodric Thomas,BOS,25,12,8,4,5.0,1.8,0.8,0.9,0.5,0.1,0.1,0.3
Brook Lopez,MIL,34,13,10,3,23.0,12.4,4.1,0.5,0.9,0.6,1.2,-0.5
Bruce Brown,BKN,25,72,37,35,24.6,9.0,4.8,2.1,0.8,1.1,0.7,-0.6
Bruno Fernando,HOU,23,30,15,15,5.1,2.9,1.8,0.2,0.5,0.0,0.4,-1.1
Bryn Forbes,DEN,28,75,36,39,17.1,8.8,1.2,1.0,0.7,0.3,0.1,0.3
Buddy Hield,IND,29,81,26,55,30.8,15.6,4.4,2.8,1.9,0.9,0.3,-2.0
Cade Cunningham,DET,20,64,20,44,32.6,17.4,5.5,5.6,3.7,1.2,0.7,-4.3
Caleb Martin,MIA,26,60,37,23,22.9,9.2,3.8,1.1,0.9,1.0,0.5,2.6
Cam Reddish,NYK,22,49,20,29,20.7,10.1,2.1,1.0,1.2,1.0,0.3,-4.4
Cam Thomas,BKN,20,67,32,35,17.6,8.5,2.4,1.2,0.8,0.5,0.1,-2.1
Cameron Johnson,PHX,26,66,50,16,26.2,12.5,4.1,1.5,0.7,0.9,0.2,3.3
