PLAYER,TEAM,AGE,HEIGHT,WEIGHT,COLLEGE,COUNTRY,DRAFT YEAR,DRAFT ROUND,DRAFT NUMBER
Aaron Gordon,ORL,24,6-8,235,Arizona,USA,2014,1,4
Aaron Holiday,IND,23,6-0,185,UCLA,USA,2018,1,23
Abdel Nader,OKC,26,6-5,225,Iowa State,Egypt,2016,2,58
Adam Mokoka,CHI,21,6-5,190,None,France,Undrafted,Undrafted,Undrafted
Admiral Schofield,WAS,23,6-5,241,Tennessee,United Kingdo...,2019,2,42
Al Horford,PHI,34,6-9,240,Florida,Dominican Rep...,2007,1,3
Al-Farouq Aminu,ORL,29,6-8,220,Wake Forest,USA,2010,1,8
Alec Burks,PHI,28,6-6,214,Colorado,USA,2011,1,12
Alen Smailagic,GSW,19,6-10,215,None,Serbia,2019,2,39
Alex Caruso,LAL,26,6-5,186,Texas A&M,USA,Undrafted,Undrafted,Undrafted
Alex Len,SAC,27,7-0,250,Maryland,Ukraine,2013,1,5
Alfonzo McKinnie,CLE,27,6-7,215,Wisc.-Green Bay,USA,Undrafted,Undrafted,Undrafted
Alize Johnson,IND,24,6-7,212,Missouri State,USA,2018,2,50
Allen Crabbe,MIN,28,6-5,212,California,USA,2013,2,31
Allonzo Trier,NYK,24,6-4,200,Arizona,USA,2018,,
Amile Jefferson,ORL,27,6-9,222,Duke,USA,2017,,
Amir Coffey,LAC,23,6-7,210,Minnesota,USA,Undrafted,Undrafted,Undrafted
Andre Drummond,CLE,26,6-10,279,Connecticut,USA,2012,1,9
Andre Iguodala,MIA,36,6-6,215,Arizona,USA,2004,1,9
Andre Roberson,OKC,28,6-7,210,Colorado,USA,2013,1,26
Andrew Wiggins,GSW,25,6-7,197,Kansas,Canada,2014,1,1
Anfernee Simons,POR,21,6-3,181,None,USA,2018,1,24
Ante Zizic,CLE,23,6-10,266,None,Croatia,2016,1,23
Anthony Davis,LAL,27,6-10,253,Kentucky,USA,2012,1,1
Anthony Tolliver,MEM,35,6-8,240,Creighton,USA,Undrafted,Undrafted,Undrafted
Antonius Cleveland,DAL,26,6-5,195,S.E. Missouri,USA,Undrafted,Undrafted,Undrafted
Anzejs Pasecniks,WAS,24,7-2,229,None,Latvia,2017,1,25
Aron Baynes,PHX,33,6-10,260,Washington State,Australia,Undrafted,Undrafted,Undrafted
Austin Rivers,HOU,27,6-3,200,Duke,USA,2012,1,10
Avery Bradley,LAL,29,6-3,180,Texas-Austin,USA,2010,1,19
BJ Johnson,ORL,24,6-7,200,La Salle,USA,Undrafted,Undrafted,Undrafted
Bam Adebayo,MIA,22,6-9,255,Kentucky,USA,2017,1,14
Ben McLemore,HOU,27,6-3,195,Kansas,USA,2013,1,7
Ben Simmons,PHI,23,6-10,240,Louisiana State,Australia,2016,1,1
Bismack Biyombo,CHA,27,6-8,255,None,DRC,2011,1,7
Blake Griffin,DET,31,6-9,250,Oklahoma,USA,2009,1,1
Boban Marjanovic,DAL,31,7-4,290,None,Serbia,Undrafted,Undrafted,Undrafted
Bobby Portis,NYK,25,6-10,250,Arkansas,USA,2015,1,22
Bogdan Bogdanovic,SAC,27,6-6,220,None,Serbia,2014,1,27
Bojan Bogdanovic,UTA,31,6-8,226,None,Croatia,2011,2,31
Bol Bol,DEN,20,7-2,220,Oregon,Sudan,2019,2,44
Brad Wanamaker,BOS,30,6-3,210,Pittsburgh,USA,Undrafted,Undrafted,Undrafted
Bradley Beal,WAS,27,6-3,207,Florida,USA,2012,1,3
Brandon Clarke,MEM,23,6-8,215,Gonzaga,Canada,2019,1,21
Brandon Goodwin,ATL,24,6-0,180,Florida Gulf Coast,USA,Undrafted,Undrafted,Undrafted
Brandon Ingram,NOP,22,6-7,190,Duke,USA,2016,1,2
Brandon Knight,DET,28,6-2,182,Kentucky,USA,2011,1,8
Brian Bowen II,IND,21,6-6,190,None,USA,Undrafted,Undrafted,Undrafted
Brook Lopez,MIL,32,7-0,282,Stanford,USA,2008,1,10
Bruce Brown,DET,23,6-4,202,Miami,USA,2018,2,42
Bruno Caboclo,HOU,24,6-9,218,None,Brazil,2014,1,20
Bruno Fernando,ATL,21,6-9,240,Maryland,Angola,2019,2,34
Bryn Forbes,SAS,26,6-2,205,Michigan State,USA,Undrafted,Undrafted,Undrafted
Buddy Hield,SAC,27,6-4,220,Oklahoma,Bahamas,2016,1,6
CJ McCollum,POR,28,6-3,190,Lehigh,USA,2013,1,10
CJ Miles,WAS,33,6-6,220,No College,USA,2005,2,34
Caleb Martin,CHA,24,6-5,205,Nevada-Reno,USA,Undrafted,Undrafted,Undrafted
Caleb Swanigan,POR,23,6-9,260,Purdue,USA,2017,1,26
Cam Reddish,ATL,20,6-8,218,Duke,USA,2019,1,10
Cameron Johnson,PHX,24,6-8,210,North Carolina,USA,2019,1,11
Cameron Payne,PHX,25,6-1,183,Murray State,USA,2015,1,14
Caris LeVert,BKN,25,6-6,205,Michigan,USA,2016,1,20
Carmelo Anthony,POR,36,6-8,238,Syracuse,USA,2003,1,3
Carsen Edwards,BOS,22,5-11,200,Purdue,USA,2019,2,33
Cedi Osman,CLE,25,6-7,230,None,Turkey,2015,2,31
Chandler Hutchison,CHI,24,6-7,210,Boise State,USA,2018,1,22
Chandler Parsons,ATL,31,6-9,230,Florida,USA,2011,2,38
Charlie Brown Jr.,ATL,23,6-6,199,St. Joseph's (PA),USA,Undrafted,Undrafted,Undrafted
Chasson Randle,GSW,27,6-2,185,Stanford,USA,2015,,
Cheick Diallo,PHX,23,6-8,219,Kansas,Mali,2016,2,33
Chimezie Metu,SAS,23,6-9,225,Southern California,USA,2018,2,49
Chris Boucher,TOR,27,6-9,200,Oregon,Saint Lucia,Undrafted,Undrafted,Undrafted
Chris Chiozza,BKN,24,5-11,175,Florida,USA,Undrafted,Undrafted,Undrafted
Chris Clemons,HOU,22,5-9,180,Campbell University,USA,Undrafted,Undrafted,Undrafted
