ID,Current jersey sponsor
ATL,Sharecare
BOS,Vistaprint
BKN,Webull
CHA,LendingTree
CHI,Zenni Optical 
CLE,Goodyear Tire and Rubber Company
DAL,Chime
DEN,Western Union 
DET,United Wholesale Mortgage 
GSW,Rakuten
HOU,Credit Karma 
IND,Motorola 
LAC,Honey
LAL,Bibigo
MEM,TBD
MIA,Ultimate Kronos Group 
MIL,Motorola 
MIN,Aura
NOP,Ibotta
NYK,Squarespace
OKC,Love's Travel Stops & Country Stores 
ORL,Walt Disney World 
PHI,Crypto.com
PHX,PayPal
POR,StormX
SAC,Dialpad
SAS,Frost Bank 
TOR,Sun Life Financial 
UTA,Qualtrics 
WAS,TBD
